Server_06	Server_00	Server_01	Server_02	Server_03	Server_04	Server_05	Server_07	Server_0	Time
3.311	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.170	228.171
3.159	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.170	230.416
3.159	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	232.034
3.038	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	233.675
3.039	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	235.051
3.039	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	235.254
3.040	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	235.273
3.138	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	235.431
3.119	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	236.253
3.103	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	236.494
3.103	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	237.208
3.189	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	237.240
3.258	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	239.172
3.312	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	239.210
3.356	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	239.219
3.391	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	240.201
3.419	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	240.225
3.344	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.202	240.309
3.344	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.170	243.105
3.344	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.242	243.838
3.344	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.300	245.124
3.479	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.300	246.919
3.588	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.300	247.135
3.674	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.300	247.442
3.674	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.249	247.600
3.744	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.249	248.129
3.799	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.249	248.389
3.648	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.249	251.798
3.527	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.249	252.008
3.528	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.249	252.475
3.528	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.207	253.109
3.528	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.207	253.667
